"Element";"Quota";"Centrality";"Value"
"gorodnichij";"30";"SRIC_EX";"0.143459665720005"
"gorodnichij";"30";"Max";"0.0820890013490027"
"ammos_fedorovich_ljapkin_tjapkin";"30";"SRIC_EX";"0.0753558191968436"
"ammos_fedorovich_ljapkin_tjapkin";"30";"Max";"0.053289720444452"
"artemij_filippovich_zemljanika";"30";"SRIC_EX";"0.109939233236775"
"artemij_filippovich_zemljanika";"30";"Max";"0.0626526948751008"
"luka_lukich";"30";"SRIC_EX";"0.0966429209662618"
"luka_lukich";"30";"Max";"0.0610532980975095"
"lekar";"30";"SRIC_EX";"0.00340244789980526"
"lekar";"30";"Max";"0.0163593405407159"
"pochtmejster";"30";"SRIC_EX";"0.0194779665078569"
"pochtmejster";"30";"Max";"0.034497813682998"
"bobchinskij";"30";"SRIC_EX";"0.0880812909329731"
"bobchinskij";"30";"Max";"0.0590498813500058"
"dobchinskij";"30";"SRIC_EX";"0.0736512584856831"
"dobchinskij";"30";"Max";"0.0543439630687413"
"chastnyj_pristav";"30";"SRIC_EX";"0.0242336451833854"
"chastnyj_pristav";"30";"Max";"0.0412665737726225"
"svistunov";"30";"SRIC_EX";"0.00240724141511973"
"svistunov";"30";"Max";"0.0143636894335242"
"anna_andreevna";"30";"SRIC_EX";"0.0969000348502447"
"anna_andreevna";"30";"Max";"0.062855824174749"
"marja_antonovna";"30";"SRIC_EX";"0.0688755042869974"
"marja_antonovna";"30";"Max";"0.0572618493584995"
"hlestakov";"30";"SRIC_EX";"0.0780541838348488"
"hlestakov";"30";"Max";"0.0501276371718391"
"sluga";"30";"SRIC_EX";"0.00131004675601476"
"sluga";"30";"Max";"0.0126257129138284"
"osip";"30";"SRIC_EX";"0.0257987719445041"
"osip";"30";"Max";"0.0314627131884438"
"derzhimorda";"30";"SRIC_EX";"0.000196269308040011"
"derzhimorda";"30";"Max";"0.00751717194794171"
"golos_jamschika";"30";"SRIC_EX";"0.000548485933715679"
"golos_jamschika";"30";"Max";"0.00787146504587181"
"kuptsy";"30";"SRIC_EX";"0.0127321117614874"
"kuptsy";"30";"Max";"0.0275181700438043"
"odin_iz_kuptsov";"30";"SRIC_EX";"0.00226188274108729"
"odin_iz_kuptsov";"30";"Max";"0.0115945627169872"
"zhena_luki_lukicha";"30";"SRIC_EX";"0.00246093755698952"
"zhena_luki_lukicha";"30";"Max";"0.020647824543399"
"mnogie_iz_gostej";"30";"SRIC_EX";"0.00961505586306485"
"mnogie_iz_gostej";"30";"Max";"0.0314501409444535"
"zhena_korobkina";"30";"SRIC_EX";"0.0154754119494632"
"zhena_korobkina";"30";"Max";"0.0332919389924047"
"korobkin";"30";"SRIC_EX";"0.0154754119494632"
"korobkin";"30";"Max";"0.0332919389924047"
"rastakovskij";"30";"SRIC_EX";"0.0103978451280602"
"rastakovskij";"30";"Max";"0.0333632312530645"
"gostja";"30";"SRIC_EX";"0.00961505586306485"
"gostja";"30";"Max";"0.0314501409444535"
"ljuljukov";"30";"SRIC_EX";"0.00179644791648461"
"ljuljukov";"30";"Max";"0.0202668991861548"
"odna_iz_dam";"30";"SRIC_EX";"0.00232237983267541"
"odna_iz_dam";"30";"Max";"0.0184152519507814"
"mishka";"30";"SRIC_EX";"1.93785905062939e-05"
"mishka";"30";"Max";"0.00478233156372015"
"slesarsha";"30";"SRIC_EX";"0.00474664719428922"
"slesarsha";"30";"Max";"0.0126196092262631"
"unter-ofitsersha";"30";"SRIC_EX";"0.00474664719428922"
"unter-ofitsersha";"30";"Max";"0.0126196092262631"
"gorodnichij";"50";"SRIC_EX";"0.130103632176434"
"gorodnichij";"50";"Max";"0.103898145066351"
"ammos_fedorovich_ljapkin_tjapkin";"50";"SRIC_EX";"0.0381023710385399"
"ammos_fedorovich_ljapkin_tjapkin";"50";"Max";"0.052375702043038"
"artemij_filippovich_zemljanika";"50";"SRIC_EX";"0.0381023710385399"
"artemij_filippovich_zemljanika";"50";"Max";"0.0755123745884008"
"luka_lukich";"50";"SRIC_EX";"0.0381023710385399"
"luka_lukich";"50";"Max";"0.0724284496664728"
"lekar";"50";"SRIC_EX";"0.00761667359091539"
"lekar";"50";"Max";"0.0101347598066454"
"pochtmejster";"50";"SRIC_EX";"0.0163165229677211"
"pochtmejster";"50";"Max";"0.0356160819894525"
"bobchinskij";"50";"SRIC_EX";"0.0391665437404673"
"bobchinskij";"50";"Max";"0.0705849513585475"
"dobchinskij";"50";"SRIC_EX";"0.0163165229677211"
"dobchinskij";"50";"Max";"0.0592783616048791"
"chastnyj_pristav";"50";"SRIC_EX";"0.0163165229677211"
"chastnyj_pristav";"50";"Max";"0.0389226832635714"
"svistunov";"50";"SRIC_EX";"0.00486977780406538"
"svistunov";"50";"Max";"0.00911892161219858"
"anna_andreevna";"50";"SRIC_EX";"0.0500991225884199"
"anna_andreevna";"50";"Max";"0.0746311634582463"
"marja_antonovna";"50";"SRIC_EX";"0.0393638797039836"
"marja_antonovna";"50";"Max";"0.0652605925918558"
"hlestakov";"50";"SRIC_EX";"0.25242330655763"
"hlestakov";"50";"Max";"0.0734327069491423"
"sluga";"50";"SRIC_EX";"0.00614076523382145"
"sluga";"50";"Max";"0.0133807322862062"
"osip";"50";"SRIC_EX";"0.0982743536368299"
"osip";"50";"Max";"0.0391809474619103"
"derzhimorda";"50";"SRIC_EX";"0.00377893245158243"
"derzhimorda";"50";"Max";"0.0060998418608487"
"golos_jamschika";"50";"SRIC_EX";"0.00425129900803023"
"golos_jamschika";"50";"Max";"0.00893560324418029"
"kuptsy";"50";"SRIC_EX";"0.0800038000091746"
"kuptsy";"50";"Max";"0.0245160372718444"
"odin_iz_kuptsov";"50";"SRIC_EX";"0.0185994331601323"
"odin_iz_kuptsov";"50";"Max";"0.0106117766804811"
"zhena_luki_lukicha";"50";"SRIC_EX";"0"
"zhena_luki_lukicha";"50";"Max";"0.00751545777324722"
"mnogie_iz_gostej";"50";"SRIC_EX";"0"
"mnogie_iz_gostej";"50";"Max";"0.018026121355359"
"zhena_korobkina";"50";"SRIC_EX";"0"
"zhena_korobkina";"50";"Max";"0.018026121355359"
"korobkin";"50";"SRIC_EX";"0"
"korobkin";"50";"Max";"0.018026121355359"
"rastakovskij";"50";"SRIC_EX";"0"
"rastakovskij";"50";"Max";"0.0246082556714691"
"gostja";"50";"SRIC_EX";"0"
"gostja";"50";"Max";"0.018026121355359"
"ljuljukov";"50";"SRIC_EX";"0"
"ljuljukov";"50";"Max";"0.00751545777324722"
"odna_iz_dam";"50";"SRIC_EX";"0"
"odna_iz_dam";"50";"Max";"0.00751545777324722"
"mishka";"50";"SRIC_EX";"0.00141709966934341"
"mishka";"50";"Max";"0.00482509337622673"
"slesarsha";"50";"SRIC_EX";"0.0503173493251936"
"slesarsha";"50";"Max";"0.015997979703427"
"unter-ofitsersha";"50";"SRIC_EX";"0.0503173493251936"
"unter-ofitsersha";"50";"Max";"0.015997979703427"
"gorodnichij";"70";"SRIC_EX";"0.0978865406006674"
"gorodnichij";"70";"Max";"0.125165891779028"
"ammos_fedorovich_ljapkin_tjapkin";"70";"SRIC_EX";"0"
"ammos_fedorovich_ljapkin_tjapkin";"70";"Max";"0.0353229698766665"
"artemij_filippovich_zemljanika";"70";"SRIC_EX";"0"
"artemij_filippovich_zemljanika";"70";"Max";"0.0353229698766665"
"luka_lukich";"70";"SRIC_EX";"0"
"luka_lukich";"70";"Max";"0.0353229698766665"
"lekar";"70";"SRIC_EX";"0"
"lekar";"70";"Max";"0"
"pochtmejster";"70";"SRIC_EX";"0"
"pochtmejster";"70";"Max";"0.0237708036276938"
"bobchinskij";"70";"SRIC_EX";"0"
"bobchinskij";"70";"Max";"0.035989441006415"
"dobchinskij";"70";"SRIC_EX";"0"
"dobchinskij";"70";"Max";"0.0237708036276938"
"chastnyj_pristav";"70";"SRIC_EX";"0"
"chastnyj_pristav";"70";"Max";"0.0237708036276938"
"svistunov";"70";"SRIC_EX";"0"
"svistunov";"70";"Max";"0"
"anna_andreevna";"70";"SRIC_EX";"0.032258064516129"
"anna_andreevna";"70";"Max";"0.057368789403835"
"marja_antonovna";"70";"SRIC_EX";"0.032258064516129"
"marja_antonovna";"70";"Max";"0.0469143403097421"
"hlestakov";"70";"SRIC_EX";"0.294053221528194"
"hlestakov";"70";"Max";"0.20699809206304"
"sluga";"70";"SRIC_EX";"0"
"sluga";"70";"Max";"0"
"osip";"70";"SRIC_EX";"0.265132198168906"
"osip";"70";"Max";"0.102192239894759"
"derzhimorda";"70";"SRIC_EX";"0"
"derzhimorda";"70";"Max";"0"
"golos_jamschika";"70";"SRIC_EX";"0"
"golos_jamschika";"70";"Max";"0"
"kuptsy";"70";"SRIC_EX";"0.0957816377171216"
"kuptsy";"70";"Max";"0.0879916132086156"
"odin_iz_kuptsov";"70";"SRIC_EX";"0.0476426799007444"
"odin_iz_kuptsov";"70";"Max";"0.0287206948723831"
"zhena_luki_lukicha";"70";"SRIC_EX";"0"
"zhena_luki_lukicha";"70";"Max";"0"
"mnogie_iz_gostej";"70";"SRIC_EX";"0"
"mnogie_iz_gostej";"70";"Max";"0"
"zhena_korobkina";"70";"SRIC_EX";"0"
"zhena_korobkina";"70";"Max";"0"
"korobkin";"70";"SRIC_EX";"0"
"korobkin";"70";"Max";"0"
"rastakovskij";"70";"SRIC_EX";"0"
"rastakovskij";"70";"Max";"0"
"gostja";"70";"SRIC_EX";"0"
"gostja";"70";"Max";"0"
"ljuljukov";"70";"SRIC_EX";"0"
"ljuljukov";"70";"Max";"0"
"odna_iz_dam";"70";"SRIC_EX";"0"
"odna_iz_dam";"70";"Max";"0"
"mishka";"70";"SRIC_EX";"0"
"mishka";"70";"Max";"0"
"slesarsha";"70";"SRIC_EX";"0.0674937965260546"
"slesarsha";"70";"Max";"0.0656887884745507"
"unter-ofitsersha";"70";"SRIC_EX";"0.0674937965260546"
"unter-ofitsersha";"70";"Max";"0.0656887884745507"
